Date,spx_Close,spx_Adj Close,vix_3m_Close,vix_6m_Close,vix_9d_Close,vix_cur_Close,total_users_holding,avg_users_holding_ln_ret,avg_users_holding_pct_chg
9/30/2014,1972.290039,1972.290039,17.08,18.3,16.76,16.31,,,
10/1/2014,1946.160034,1946.160034,17.62,18.72,16.72,16.71,,,
10/2/2014,1946.170044,1946.170044,17.24,18.44,15.93,16.16,,,
10/3/2014,1967.900024,1967.900024,16.04,17.64,13.86,14.55,,,
10/6/2014,1964.819946,1964.819946,16.55,17.9,15.31,15.46,,,
10/7/2014,1935.099976,1935.099976,17.68,18.73,16.9,17.2,,,
10/8/2014,1968.890015,1968.890015,16.28,17.74,14.59,15.11,,,
10/9/2014,1928.209961,1928.209961,18.09,19.11,21.62,18.76,,,
10/10/2014,1906.130005,1906.130005,19.93,20.56,21.95,21.24,,,
10/13/2014,1874.73999,1874.73999,22.12,22.32,27.22,24.64,,,
10/14/2014,1877.699951,1877.699951,21.37,21.66,24.61,22.79,,,
10/15/2014,1862.48999,1862.48999,23.82,23.53,31.12,26.25,,,
10/16/2014,1862.76001,1862.76001,22.85,22.96,30.48,25.2,,,
10/17/2014,1886.76001,1886.76001,21.25,21.62,23.81,21.99,,,
10/20/2014,1904.01001,1904.01001,19.67,20.6,19.45,18.57,,,
10/21/2014,1941.280029,1941.280029,17.87,19.28,16.38,16.08,,,
10/22/2014,1927.109985,1927.109985,19.06,20.13,18.36,17.87,,,
10/23/2014,1950.819946,1950.819946,18.22,19.45,16.12,16.53,,,
10/24/2014,1964.579956,1964.579956,17.92,19.19,14.76,16.11,,,
10/27/2014,1961.630005,1961.630005,17.86,19.17,16.09,16.04,,,
10/28/2014,1985.050049,1985.050049,16.46,18.23,14.39,14.39,,,
10/29/2014,1982.300049,1982.300049,16.89,18.63,14.9,15.15,,,
10/30/2014,1994.650024,1994.650024,16.74,18.43,14,14.52,,,
10/31/2014,2018.050049,2018.050049,16.51,18.16,13.8,14.03,,,
11/3/2014,2017.810059,2017.810059,16.81,18.33,14.77,14.73,,,
11/4/2014,2012.099976,2012.099976,16.93,18.6,14.81,14.89,,,
11/5/2014,2023.569946,2023.569946,16.57,18.35,13.35,14.17,,,
11/6/2014,2031.209961,2031.209961,16.26,18.12,12.65,13.67,,,
11/7/2014,2031.920044,2031.920044,15.83,17.79,11.13,13.12,,,
11/10/2014,2038.26001,2038.26001,15.04,17.36,11.32,12.67,,,
11/11/2014,2039.680054,2039.680054,15.36,17.27,11.54,12.92,,,
11/12/2014,2038.25,2038.25,15.74,17.49,11.39,13.02,,,
11/13/2014,2039.329956,2039.329956,15.89,17.77,11.97,13.79,,,
11/14/2014,2039.819946,2039.819946,15.96,17.73,11.35,13.31,,,
11/17/2014,2041.319946,2041.319946,15.93,17.8,11.42,13.99,,,
11/18/2014,2051.800049,2051.800049,15.7,17.64,11.49,13.86,,,
11/19/2014,2048.719971,2048.719971,15.97,17.91,11.42,13.96,,,
11/20/2014,2052.75,2052.75,16.01,17.91,10.91,13.58,,,
11/21/2014,2063.5,2063.5,15.79,17.75,10.45,12.9,,,
11/24/2014,2069.409912,2069.409912,15.55,17.61,11.15,12.62,,,
11/25/2014,2067.030029,2067.030029,15.41,17.64,10.81,12.25,,,
11/26/2014,2072.830078,2072.830078,15.32,17.58,11.12,12.07,,,
