Date,spx_Close,spx_Adj Close,vix_3m_Close,vix_6m_Close,vix_9d_Close,vix_cur_Close
2017-04-28,2384.199951,2384.199951,12.93,14.74,9.42,10.82
2017-05-01,2388.330078,2388.330078,12.63,14.48,9.49,10.11
2017-05-02,2391.169922,2391.169922,12.83,14.66,10.49,10.59
2017-05-03,2388.129883,2388.129883,13.09,14.87,10.78,10.68
2017-05-04,2389.52002,2389.52002,12.83,14.71,11.04,10.46
2017-05-05,2399.290039,2399.290039,12.85,14.65,11.44,10.57
2017-05-08,2399.379883,2399.379883,12.59,14.64,9.09,9.77
2017-05-09,2396.919922,2396.919922,12.71,14.72,9.31,9.96
2017-05-10,2399.629883,2399.629883,12.91,14.88,9.43,10.21
2017-05-11,2394.439941,2394.439941,13.01,14.99,10.35,10.6
2017-05-12,2390.899902,2390.899902,12.97,15.1,9.4,10.4
2017-05-15,2402.320068,2402.320068,12.78,14.97,9.16,10.42
2017-05-16,2400.669922,2400.669922,12.65,14.97,8.96,10.65
2017-05-17,2357.030029,2357.030029,15.6,16.8,20.17,15.59
2017-05-18,2365.719971,2365.719971,14.97,16.42,16.67,14.66
2017-05-19,2381.72998,2381.72998,13.49,15.57,10.98,12.04
2017-05-22,2394.02002,2394.02002,12.96,15.25,9.39,10.93
2017-05-23,2398.419922,2398.419922,12.9,15.16,9.32,10.72
2017-05-24,2404.389893,2404.389893,12.59,14.9,8.56,10.02
2017-05-25,2415.070068,2415.070068,12.51,14.82,8.12,9.99
2017-05-26,2415.820068,2415.820068,12.44,14.84,7.6,9.81
2017-05-30,2412.909912,2412.909912,12.74,15.03,9.04,10.38
2017-05-31,2411.800049,2411.800049,12.63,14.94,8.71,10.41
2017-06-01,2430.060059,2430.060059,12.42,14.83,8.5,9.89
2017-06-02,2439.070068,2439.070068,12.46,14.88,8.47,9.75
2017-06-05,2436.100098,2436.100098,12.85,15.08,9.69,10.07
2017-06-06,2429.330078,2429.330078,13.08,15.3,10.39,10.45
2017-06-07,2433.139893,2433.139893,13.09,15.27,10.13,10.39
2017-06-08,2433.790039,2433.790039,12.76,15.01,9.62,10.16
2017-06-09,2431.77002,2431.77002,12.96,15.17,10.37,10.7
2017-06-12,2429.389893,2429.389893,13.3,15.32,11.35,11.46
2017-06-13,2440.350098,2440.350098,12.73,14.96,9.35,10.42
2017-06-14,2437.919922,2437.919922,12.77,14.94,9.91,10.64
2017-06-15,2432.459961,2432.459961,12.91,15.07,10.14,10.9
2017-06-16,2433.149902,2433.149902,12.71,14.87,8.33,10.38
2017-06-19,2453.459961,2453.459961,12.4,14.49,8.52,10.37
2017-06-20,2437.030029,2437.030029,12.69,14.66,9.42,10.86
2017-06-21,2435.610107,2435.610107,12.76,14.73,9.56,10.75
2017-06-22,2434.5,2434.5,12.62,14.65,9.23,10.48
2017-06-23,2438.300049,2438.300049,12.36,14.49,8.38,10.02
2017-06-26,2439.070068,2439.070068,12.27,14.28,8.7,9.9
2017-06-27,2419.379883,2419.379883,12.96,14.78,10.5,11.06
2017-06-28,2440.689941,2440.689941,12.4,14.44,8.49,10.03
2017-06-29,2419.699951,2419.699951,13.15,14.88,11.37,11.44
2017-06-30,2423.409912,2423.409912,13.14,14.86,9.93,11.18
2017-07-03,2429.01001,2429.01001,13.31,14.96,10.21,11.22
2017-07-05,2432.540039,2432.540039,13.31,14.94,9.65,11.07
2017-07-06,2409.75,2409.75,14.11,15.48,11.53,12.54
2017-07-07,2425.179932,2425.179932,13.52,15.11,9.26,11.19
2017-07-10,2427.429932,2427.429932,13.35,14.9,9.9,11.11
2017-07-11,2425.530029,2425.530029,13.16,14.74,9.37,10.89
2017-07-12,2443.25,2443.25,12.78,14.48,8.06,10.3
2017-07-13,2447.830078,2447.830078,12.55,14.32,8.01,9.9
2017-07-14,2459.27002,2459.27002,12.23,14.01,7.55,9.51
2017-07-17,2459.139893,2459.139893,12.28,14.04,8.39,9.82
2017-07-18,2460.610107,2460.610107,12.25,14.04,8.44,9.89
2017-07-19,2473.830078,2473.830078,12.0,13.91,7.85,9.79
2017-07-20,2473.449951,2473.449951,12.04,13.9,7.69,9.58
2017-07-21,2472.540039,2472.540039,12.06,13.89,7.1,9.36
2017-07-24,2469.909912,2469.909912,12.04,13.82,7.64,9.43
2017-07-25,2477.129883,2477.129883,12.05,13.75,7.87,9.43
2017-07-26,2477.830078,2477.830078,12.11,13.79,8.07,9.6
2017-07-27,2475.419922,2475.419922,12.42,13.87,9.03,10.11
2017-07-28,2472.100098,2472.100098,12.58,13.96,8.55,10.29
2017-07-31,2470.300049,2470.300049,12.47,13.94,9.43,10.26
2017-08-01,2476.350098,2476.350098,12.4,13.76,8.93,10.09
2017-08-02,2477.570068,2477.570068,12.56,13.92,8.68,10.28
2017-08-03,2472.159912,2472.159912,12.74,14.15,9.31,10.44
2017-08-04,2476.830078,2476.830078,12.75,14.25,8.58,10.03
2017-08-07,2480.909912,2480.909912,12.66,14.16,8.43,9.93
2017-08-08,2474.919922,2474.919922,13.2,14.6,10.5,10.96
2017-08-09,2474.02002,2474.02002,13.49,14.89,10.72,11.11
2017-08-10,2438.209961,2438.209961,16.21,16.74,17.83,16.04
2017-08-11,2441.320068,2441.320068,16.39,16.86,15.53,15.51
2017-08-14,2465.840088,2465.840088,13.92,15.18,11.63,12.33
2017-08-15,2464.610107,2464.610107,13.9,15.11,10.41,12.04
2017-08-16,2468.110107,2468.110107,13.58,14.92,9.73,11.74
2017-08-17,2430.01001,2430.01001,16.14,16.5,15.77,15.55
2017-08-18,2425.550049,2425.550049,15.65,16.38,13.17,14.26
2017-08-21,2428.3701170000004,2428.3701170000004,14.99,15.92,12.48,13.19
2017-08-22,2452.51001,2452.51001,13.63,14.99,9.92,11.35
2017-08-23,2444.040039,2444.040039,14.33,15.53,11.14,12.25
2017-08-24,2438.969971,2438.969971,14.39,15.63,10.33,12.23
2017-08-25,2443.050049,2443.050049,13.99,15.42,8.97,11.28
2017-08-28,2444.23999,2444.23999,13.99,15.41,9.45,11.32
2017-08-29,2446.300049,2446.300049,14.12,15.52,9.81,11.7
2017-08-30,2457.590088,2457.590088,14.14,15.6,9.15,11.22
2017-08-31,2471.649902,2471.649902,13.8,15.46,8.66,10.59
2017-09-01,2476.550049,2476.550049,13.59,15.33,7.94,10.13
2017-09-05,2457.850098,2457.850098,14.58,16.05,11.34,12.23
2017-09-06,2465.540039,2465.540039,14.4,16.02,10.22,11.63
2017-09-07,2465.100098,2465.100098,14.32,15.98,9.75,11.55
2017-09-08,2461.429932,2461.429932,14.69,16.37,11.29,12.12
2017-09-11,2488.110107,2488.110107,13.86,15.77,9.01,10.73
2017-09-12,2496.47998,2496.47998,13.56,15.49,9.25,10.58
2017-09-13,2498.3701170000004,2498.3701170000004,13.23,15.22,9.38,10.5
2017-09-14,2495.6201170000004,2495.6201170000004,13.16,15.2,9.29,10.44
2017-09-15,2500.22998,2500.22998,12.96,15.09,8.3,10.17
2017-09-18,2503.8701170000004,2503.8701170000004,12.69,14.84,8.72,10.15
2017-09-19,2506.649902,2506.649902,12.73,14.85,9.09,10.18
2017-09-20,2508.23999,2508.23999,12.66,14.71,8.95,9.78
2017-09-21,2500.600098,2500.600098,12.66,14.8,8.44,9.67
2017-09-22,2502.219971,2502.219971,12.85,14.97,7.98,9.59
2017-09-25,2496.659912,2496.659912,13.06,15.14,9.21,10.21
2017-09-26,2496.840088,2496.840088,13.02,15.1,9.34,10.17
2017-09-27,2507.040039,2507.040039,12.91,15.04,9.03,9.87
2017-09-28,2510.060059,2510.060059,12.76,14.93,8.39,9.55
2017-09-29,2519.360107,2519.360107,12.49,14.81,7.95,9.51
2017-10-02,2529.1201170000004,2529.1201170000004,12.36,14.57,8.18,9.45
2017-10-03,2534.580078,2534.580078,12.31,14.46,8.04,9.51
2017-10-04,2537.73999,2537.73999,12.38,14.44,8.02,9.63
2017-10-05,2552.070068,2552.070068,12.18,14.25,7.81,9.19
